text,intent
chrome выключи,close_app
chrome выключи быстро,close_app
chrome выключи плиз,close_app
chrome выключи срочно,close_app
chrome выкючи,close_app
chrome выкючи сейчас,close_app
chrome давай закрой,close_app
chrome давай закрой плиз,close_app
chrome давай зкрой мне надо,close_app
chrome заверши,close_app
chrome заверши мне надо,close_app
chrome заверши срочно,close_app
chrome закрй,close_app
chrome закрой,close_app
chrome закрой быстро,close_app
chrome закрой мне надо,close_app
chrome закрой плиз,close_app
chrome закрой сейчас,close_app
chrome можешь завершить,close_app
chrome можешь завершить сейчас,close_app
chrome можешь завершить срочно,close_app
chrome можешь завешить,close_app
chrome можешь завршить срочно,close_app
chrome можешь закрыть,close_app
chrome можешь закрыть быстро,close_app
chrome можешь закрыть плиз,close_app
chrome можешь закрыть сейчас,close_app
google chrome выклчи быстро,close_app
google chrome выключи,close_app
google chrome выключи быстро,close_app
google chrome выключи мне надо,close_app
google chrome выключи пожалуйста,close_app
google chrome выключи срочно,close_app
google chrome давай закрй мне надо,close_app
google chrome давай закрой,close_app
google chrome давай закрой быстро,close_app
google chrome давай закрой мне надо,close_app
google chrome давай закрой пожалйста,close_app
google chrome давай зкрой сейчас,close_app
google chrome заверши,close_app
google chrome заверши быстро,close_app
google chrome заверши мне надо,close_app
google chrome заверши пожалуйта,close_app
google chrome заверши сейчас,close_app
google chrome заверши срочно,close_app
google chrome завеши,close_app
google chrome заврши,close_app
google chrome закрой,close_app
google chrome закрой быстро,close_app
google chrome закрой мне надо,close_app
google chrome закрой плиз,close_app
google chrome закрой пожалйста,close_app
google chrome закрой пожалуйста,close_app
google chrome закрой срочно,close_app
google chrome зкрой,close_app
google chrome можешь завершить,close_app
google chrome можешь завершить плиз,close_app
google chrome можешь завершить пожалуйста,close_app
google chrome можешь завершить сейчас,close_app
google chrome можешь завршить,close_app
google chrome можешь завршить плиз,close_app
google chrome можешь завршить пожалуйста,close_app
google chrome можешь закрыть,close_app
google chrome можешь закрыть быстро,close_app
google chrome можешь закрыть пожалуйста,close_app
браузер выключи,close_app
браузер выключи быстро,close_app
браузер выключи сейчас,close_app
браузер давай закрой,close_app
браузер давай закрой быстро,close_app
браузер давай закрой мне надо,close_app
браузер давай закрой сейчас,close_app
браузер заверши,close_app
браузер заверши пожалуйста,close_app
браузер заверши сейчас,close_app
браузер заверши срочно,close_app
браузер завеши мне надо,close_app
браузер закрй,close_app
браузер закрой,close_app
браузер закрой быстро,close_app
браузер закрой плиз,close_app
браузер закрой пожалуйста,close_app
браузер закрой срочно,close_app
браузер зкрой быстро,close_app
браузер можешь завершить,close_app
браузер можешь завершить быстро,close_app
браузер можешь завершить пожалуйста,close_app
браузер можешь закрыть,close_app
браузер можешь закрыть мне надо,close_app
браузер можешь закрыть сейчас,close_app
браузер можешь закрыть срочно,close_app
быстро выклчи google chrome,close_app
быстро выключи chrome,close_app
быстро выключи google chrome пожалуйста,close_app
быстро выключи google chrome срочно,close_app
быстро выключи браузер быстро,close_app
быстро выключи гугл,close_app
быстро выключи гугл пожалуйста,close_app
быстро выключи гугл хром,close_app
быстро выключи гугл хром мне надо,close_app
быстро выключи гугл хром сейчас,close_app
быстро выключи хом сейчас,close_app
быстро выключи хром плиз,close_app
быстро давай закрй google chrome,close_app
быстро давай закрой chrome,close_app
быстро давай закрой chrome сейчас,close_app
быстро давай закрой google chrome,close_app
быстро давай закрой гугл хром,close_app
быстро давай закрой гугл хром плиз,close_app
быстро давай закрой хром плиз,close_app
быстро давай закрой хром сейчас,close_app
быстро заверши chrome,close_app
быстро заверши chrome быстро,close_app
быстро заверши chrome сейчас,close_app
быстро заверши google chrome,close_app
быстро заверши гугл,close_app
быстро заверши гугл хром,close_app
быстро закрой chrome,close_app
быстро закрой google chrome быстро,close_app
быстро закрой браузер,close_app
быстро закрой браузер быстро,close_app
быстро закрой гугл,close_app
быстро закрой хром,close_app
быстро можешь завершить chrome быстро,close_app
быстро можешь завершить google chrome,close_app
быстро можешь завершить браузер,close_app
быстро можешь завершить браузр плиз,close_app
быстро можешь завершить гугл хом срочно,close_app
быстро можешь завершить гугл хром,close_app
быстро можешь завершить гугл хром мне надо,close_app
быстро можешь завершить гугл хром сейчас,close_app
быстро можешь завершить гугл хром срочно,close_app
быстро можешь завешить chrome пожалуйста,close_app
быстро можешь завешить google chrome мне надо,close_app
быстро можешь завршить google chrome пожалуйста,close_app
быстро можешь завршить браузер,close_app
быстро можешь закрыть chrome быстро,close_app
быстро можешь закрыть chrome мне надо,close_app
быстро можешь закрыть chrome сейчас,close_app
быстро можешь закрыть google chrome,close_app
быстро можешь закрыть google chrome плиз,close_app
быстро можешь закрыть браузр,close_app
быстро можешь закрыть гугл хром,close_app
быстро можешь закрыть хром,close_app
выклчи гугл,close_app
выключи chrome,close_app
выключи chrome быстро,close_app
выключи chrome мне надо,close_app
выключи chrome сейчас,close_app
выключи chrome срочно,close_app
выключи google chrome,close_app
выключи google chrome быстро,close_app
выключи google chrome мне надо,close_app
выключи google chrome плиз,close_app
выключи google chrome пожалуйста,close_app
выключи брауер,close_app
выключи браузер,close_app
выключи браузер быстро,close_app
выключи браузер пожалуйста,close_app
выключи браузер сейчас,close_app
выключи браузер срочно,close_app
выключи гугл,close_app
выключи гугл быстро,close_app
выключи гугл мне надо,close_app
выключи гугл пожалуйста,close_app
выключи гугл сейчас,close_app
выключи гугл хом пожалуйста,close_app
выключи гугл хом сейчас,close_app
выключи гугл хром,close_app
выключи гугл хром быстро,close_app
выключи гугл хром плиз,close_app
выключи гугл хром пожалуйста,close_app
выключи гугл хром сейчас,close_app
выключи гугл хром срочно,close_app
выключи хом пожалуйста,close_app
выключи хром,close_app
выключи хром быстро,close_app
выключи хром пожалуйста,close_app
выключи хром срочно,close_app
выкючи браузер,close_app
вылючи chrome,close_app
вылючи chrome мне надо,close_app
вылючи гугл хром,close_app
вылючи хром,close_app
гугл выключи,close_app
